experiment_id,hidden_sizes,learning_rate,batch_size,activation,init_scale,num_layers,total_neurons,avg_neurons,final_train_loss,final_val_loss,final_train_acc,final_val_acc,overfitting_gap
46,"[7, 7]",0.1,8,sigmoid,0.05,2,14,7.0,0.6931394969610842,0.6931515154946634,0.5,0.5,0.0
47,"[7, 7]",0.1,8,sigmoid,0.1,2,14,7.0,0.6930919474372494,0.6931659618217852,0.6487804878048781,0.5975609756097561,0.051219512195122
48,"[7, 7]",0.1,8,sigmoid,0.5,2,14,7.0,0.1299071678610645,0.136892633760447,0.975609756097561,0.975609756097561,0.0
49,"[7, 7]",0.1,16,relu,0.05,2,14,7.0,0.10052568199716871,0.10168842784637849,0.975609756097561,0.975609756097561,0.0
50,"[7, 7]",0.1,16,relu,0.1,2,14,7.0,0.09845079948872759,0.10348554536796842,0.975609756097561,0.975609756097561,0.0
51,"[7, 7]",0.1,16,relu,0.5,2,14,7.0,0.0980392873331849,0.102061568097998,0.975609756097561,0.975609756097561,0.0
52,"[7, 7]",0.1,16,sigmoid,0.05,2,14,7.0,0.694851943602726,0.694852252920879,0.5,0.5,0.0
53,"[7, 7]",0.1,16,sigmoid,0.1,2,14,7.0,0.6947963211429721,0.694821282627682,0.5,0.5,0.0
54,"[7, 7]",0.1,16,sigmoid,0.5,2,14,7.0,0.20350484615942135,0.23067388244930667,0.9365853658536586,0.9390243902439024,-0.0024390243902437936
55,"[10, 10]",0.01,4,relu,0.05,2,20,10.0,0.10672652262251568,0.10748637344594962,0.975609756097561,0.975609756097561,0.0
56,"[10, 10]",0.01,4,relu,0.1,2,20,10.0,0.10600676910305382,0.10591832481263089,0.975609756097561,0.975609756097561,0.0
57,"[10, 10]",0.01,4,relu,0.5,2,20,10.0,0.0902296824403988,0.13308859158679012,0.975609756097561,0.975609756097561,0.0
58,"[10, 10]",0.01,4,sigmoid,0.05,2,20,10.0,0.69347911773503,0.6934785775894345,0.5,0.5,0.0
59,"[10, 10]",0.01,4,sigmoid,0.1,2,20,10.0,0.693465553683746,0.6934692734839639,0.5,0.5,0.0
60,"[10, 10]",0.01,4,sigmoid,0.5,2,20,10.0,0.6185105924760306,0.6241810449601011,0.9121951219512195,0.8902439024390244,0.02195121951219514
61,"[10, 10]",0.01,8,relu,0.05,2,20,10.0,0.12647392369151328,0.12784934260473313,0.975609756097561,0.9634146341463414,0.012195121951219523
62,"[10, 10]",0.01,8,relu,0.1,2,20,10.0,0.11370499078494496,0.11378395867427818,0.975609756097561,0.975609756097561,0.0
63,"[10, 10]",0.01,8,relu,0.5,2,20,10.0,0.1059473662369826,0.1281797628229868,0.975609756097561,0.975609756097561,0.0
64,"[10, 10]",0.01,8,sigmoid,0.05,2,20,10.0,0.693151397379302,0.693150494975014,0.5,0.5,0.0
65,"[10, 10]",0.01,8,sigmoid,0.1,2,20,10.0,0.6931464749963014,0.6931427964644462,0.5,0.5,0.0
66,"[10, 10]",0.01,8,sigmoid,0.5,2,20,10.0,0.6873771011571262,0.6883253958756984,0.5414634146341464,0.5121951219512195,0.029268292682926855
67,"[10, 10]",0.01,16,relu,0.05,2,20,10.0,0.6544879112730597,0.6564456360688267,0.6829268292682927,0.6707317073170732,0.012195121951219523
68,"[10, 10]",0.01,16,relu,0.1,2,20,10.0,0.15492811308482338,0.14783234104262352,0.9707317073170731,0.9634146341463414,0.007317073170731714
69,"[10, 10]",0.01,16,relu,0.5,2,20,10.0,0.11727373123072461,0.12985030041474188,0.975609756097561,0.975609756097561,0.0
70,"[10, 10]",0.01,16,sigmoid,0.05,2,20,10.0,0.6931533609102866,0.6931522424276313,0.5,0.5,0.0
71,"[10, 10]",0.01,16,sigmoid,0.1,2,20,10.0,0.6931519452707581,0.6931447382030144,0.5,0.5,0.0
72,"[10, 10]",0.01,16,sigmoid,0.5,2,20,10.0,0.6911775136643064,0.6914027210053961,0.47804878048780486,0.47560975609756095,0.0024390243902439046
73,"[10, 10]",0.05,4,relu,0.05,2,20,10.0,0.09778019309320658,0.1013070525381867,0.975609756097561,0.975609756097561,0.0
74,"[10, 10]",0.05,4,relu,0.1,2,20,10.0,0.09769213963540073,0.10136203508520707,0.975609756097561,0.975609756097561,0.0
75,"[10, 10]",0.05,4,relu,0.5,2,20,10.0,0.08258871219314239,0.15412853966730633,0.975609756097561,0.975609756097561,0.0
76,"[10, 10]",0.05,4,sigmoid,0.05,2,20,10.0,0.6948805872247394,0.6948815157816014,0.5,0.5,0.0
77,"[10, 10]",0.05,4,sigmoid,0.1,2,20,10.0,0.6948444733103202,0.6948804680070678,0.5,0.5,0.0
78,"[10, 10]",0.05,4,sigmoid,0.5,2,20,10.0,0.12634213077235631,0.13538000781065687,0.975609756097561,0.975609756097561,0.0
79,"[10, 10]",0.05,8,relu,0.05,2,20,10.0,0.09939226672174599,0.10136837235152837,0.975609756097561,0.975609756097561,0.0
80,"[10, 10]",0.05,8,relu,0.1,2,20,10.0,0.09911245849573538,0.1012709693684107,0.975609756097561,0.975609756097561,0.0
81,"[10, 10]",0.05,8,relu,0.5,2,20,10.0,0.08368218484650353,0.16303614291383683,0.975609756097561,0.975609756097561,0.0
82,"[10, 10]",0.05,8,sigmoid,0.05,2,20,10.0,0.6932675258988344,0.6932676707205996,0.5,0.5,0.0
83,"[10, 10]",0.05,8,sigmoid,0.1,2,20,10.0,0.6932398326746746,0.6932603066423141,0.5,0.5,0.0
84,"[10, 10]",0.05,8,sigmoid,0.5,2,20,10.0,0.13716560364043817,0.1406755000345041,0.975609756097561,0.975609756097561,0.0
85,"[10, 10]",0.05,16,relu,0.05,2,20,10.0,0.1048576971143991,0.10486794747276937,0.975609756097561,0.975609756097561,0.0
86,"[10, 10]",0.05,16,relu,0.1,2,20,10.0,0.10383551874583154,0.10427336214741148,0.975609756097561,0.975609756097561,0.0
87,"[10, 10]",0.05,16,relu,0.5,2,20,10.0,0.08768368802573472,0.14262540356593478,0.975609756097561,0.975609756097561,0.0
88,"[10, 10]",0.05,16,sigmoid,0.05,2,20,10.0,0.6944295358586017,0.6944289256629486,0.5,0.5,0.0
89,"[10, 10]",0.05,16,sigmoid,0.1,2,20,10.0,0.6944089694298807,0.6944161620722983,0.5,0.5,0.0
90,"[10, 10]",0.05,16,sigmoid,0.5,2,20,10.0,0.39754282625619053,0.4174088922349667,0.9219512195121952,0.9146341463414634,0.007317073170731714
91,"[10, 10]",0.1,4,relu,0.05,2,20,10.0,0.09735890567007542,0.09777245045217571,0.975609756097561,0.975609756097561,0.0
92,"[10, 10]",0.1,4,relu,0.1,2,20,10.0,0.09716855557268703,0.10029173567380728,0.975609756097561,0.975609756097561,0.0
93,"[10, 10]",0.1,4,relu,0.5,2,20,10.0,0.08375346544854546,0.17458489992189272,0.975609756097561,0.975609756097561,0.0
94,"[10, 10]",0.1,4,sigmoid,0.05,2,20,10.0,0.6949993044434489,0.6950767688175747,0.5,0.5,0.0
95,"[10, 10]",0.1,4,sigmoid,0.1,2,20,10.0,0.6949865710134467,0.6950860692765137,0.5,0.5,0.0
96,"[10, 10]",0.1,4,sigmoid,0.5,2,20,10.0,0.11069635973660655,0.12318092226307797,0.975609756097561,0.975609756097561,0.0
97,"[10, 10]",0.1,8,relu,0.05,2,20,10.0,0.09754670528620075,0.09934703001089754,0.975609756097561,0.975609756097561,0.0
98,"[10, 10]",0.1,8,relu,0.1,2,20,10.0,0.09754880100160214,0.09930118515593518,0.975609756097561,0.975609756097561,0.0
99,"[10, 10]",0.1,8,relu,0.5,2,20,10.0,0.08359972184415845,0.14649381695718008,0.975609756097561,0.975609756097561,0.0
100,"[10, 10]",0.1,8,sigmoid,0.05,2,20,10.0,0.6931836600334478,0.6931919154267323,0.5,0.5,0.0
101,"[10, 10]",0.1,8,sigmoid,0.1,2,20,10.0,0.6931462210668666,0.6931923431337422,0.5,0.5,0.0
102,"[10, 10]",0.1,8,sigmoid,0.5,2,20,10.0,0.1261068617436976,0.13505556132089389,0.975609756097561,0.975609756097561,0.0
103,"[10, 10]",0.1,16,relu,0.05,2,20,10.0,0.099411614197875,0.1013313570219449,0.975609756097561,0.975609756097561,0.0
104,"[10, 10]",0.1,16,relu,0.1,2,20,10.0,0.09914510333408996,0.10119425339569266,0.975609756097561,0.975609756097561,0.0
105,"[10, 10]",0.1,16,relu,0.5,2,20,10.0,0.08357707904191558,0.16316935053368117,0.975609756097561,0.975609756097561,0.0
106,"[10, 10]",0.1,16,sigmoid,0.05,2,20,10.0,0.6966264471148719,0.6966237942787434,0.5,0.5,0.0
107,"[10, 10]",0.1,16,sigmoid,0.1,2,20,10.0,0.6965928391971387,0.69660999505943,0.5,0.5,0.0
108,"[10, 10]",0.1,16,sigmoid,0.5,2,20,10.0,0.1376162064836423,0.14061884285334503,0.975609756097561,0.975609756097561,0.0
109,"[15, 15]",0.01,4,relu,0.05,2,30,15.0,0.1058314042027344,0.12508939273428524,0.975609756097561,0.975609756097561,0.0
110,"[15, 15]",0.01,4,relu,0.1,2,30,15.0,0.09899122732775244,0.11747502741928245,0.975609756097561,0.975609756097561,0.0
